bannerid;banname;bandesc;filetype;url;width;height;bantype;person_tag
31932;9ec68a;fe13d6;3;5b4bb7;300;600;1;65,81
31933;6c7107;fe13d6;3;9c4a6d;980;90;1;65,81
31934;41a642;fe13d6;3;fd6a06;160;600;1;65,81
31937;41a642;fe13d6;3;6ff0dd;160;600;1;60,81
31938;94808f;fe13d6;3;6ff0dd;300;600;1;60,81
31939;1b19d6;fe13d6;3;6ff0dd;980;90;1;60,81
31959;6112a4;fe13d6;1;caea43;300;250;1;60,81
31960;9c80cf;fe13d6;1;caea43;300;600;1;60,81
31962;89e9b0;fe13d6;1;009582;160;600;1;28,81
31967;c691f5;fe13d6;1;b6b174;300;600;1;28,81
31972;cbd1f4;fe13d6;1;400e79;300;250;1;28,81
31980;33c891;fe13d6;1;07325b;300;600;1;29,81
31981;be2d0b;fe13d6;1;b6d75a;160;600;1;29,81
31982;930df3;fe13d6;1;48c097;300;250;1;29,81
31985;3415d5;fe13d6;1;1bb90b;300;600;1;26,81,94
31987;8be2fc;fe13d6;1;7605b6;300;600;1;81,94
31988;a53299;fe13d6;1;0163a0;160;600;1;81,94
31989;2577d0;fe13d6;1;7e6ac0;300;250;1;81,94
31990;ec0294;fe13d6;1;fab245;300;600;1;29,81
31991;38502a;fe13d6;1;6a45c6;160;600;1;29,81
31992;f1184b;fe13d6;1;9e4569;300;250;1;29,81
31993;7ebc81;fe13d6;2;311e05;980;90;1;60,81
31994;53f1f8;fe13d6;2;311e05;160;600;1;60,81
31995;dc7fbd;fe13d6;2;311e05;300;250;1;60,81
31996;8363c2;fe13d6;2;311e05;300;600;1;60,81
31961;94808f;fe13d6;2;7afac3;300;600;1;60,81
31983;d8ba7d;fe13d6;2;7afac3;300;250;1;60,81
31984;1b19d6;fe13d6;2;7afac3;980;90;1;60,81
31986;41a642;fe13d6;2;7afac3;160;600;1;60,81
31954;b5f492;fe13d6;1;f041fd;980;90;1;73,81
31955;8159b7;fe13d6;1;f041fd;728;90;1;73,81
31956;f9ad8a;fe13d6;1;f041fd;300;600;1;73,81
31957;5fd905;fe13d6;1;f041fd;160;600;1;73,81
31958;7f395b;fe13d6;1;f041fd;300;250;1;73,81
31963;b2a11d;fe13d6;2;a69aff;980;90;1;60,81
31964;c1283a;fe13d6;2;a69aff;300;600;1;60,81
31965;51dec1;fe13d6;2;a69aff;300;250;1;60,81
31953;6665bf;fe13d6;1;bdbd2b;300;600;1;81,91
31935;cc0340;fe13d6;1;c974f4;300;250;1;189,83
31936;cc0340;fe13d6;1;c974f4;300;250;1;189,83
31940;b15d5d;fe13d6;1;51a4c8;728;90;1;76,81
31944;ff67e0;fe13d6;2;5af472;160;600;1;60,81
31945;251a0c;fe13d6;2;5af472;300;250;1;60,81
31946;3705d0;fe13d6;2;5af472;980;90;1;60,81
31947;63aac1;fe13d6;2;5af472;300;600;1;60,81
31948;c58c23;fe13d6;3;4925ce;300;600;1;60,81
31949;99a061;fe13d6;3;4925ce;300;250;1;60,81
31950;448e8a;fe13d6;3;4925ce;160;600;1;60,81
31951;94cecd;fe13d6;3;4925ce;980;90;1;60,81
31966;47256a;fe13d6;1;bfeb18;300;600;1;65,81
31968;229e29;fe13d6;1;1ba1fa;300;600;1;65,81
31969;5d148d;fe13d6;1;1ef01b;980;90;1;65,81
31970;9d9339;fe13d6;1;bdb5f7;300;600;1;65,81
31979;53356e;fe13d6;1;3f8218;980;90;1;69,81
31997;cb3e3e;fe13d6;2;11e650;980;90;1;29,81
31998;c75d4a;fe13d6;2;11e650;300;600;1;29,81
31999;fd3ddd;fe13d6;1;9b8629;300;250;1;83,84
32004;dc8eed;fe13d6;1;5da563;300;250;1;83,84
32007;b8894b;fe13d6;2;659794;300;250;1;60,81
32008;d3e65c;fe13d6;2;659794;300;600;1;60,81
32012;c8028d;fe13d6;2;659794;980;90;1;60,81
32013;00b2ad;fe13d6;1;59a4af;300;600;1;81,89,90
32039;04ce2d;fe13d6;1;59b8b6;300;250;1;81,87
32081;627f76;fe13d6;1;b059ef;980;90;1;N/A
32082;8facae;fe13d6;1;2addd8;300;600;1;N/A
31971;c8b5a9;fe13d6;1;34e4d5;300;250;1;81,90
31973;3cd8f0;fe13d6;1;34e4d5;300;250;1;81,90
32021;2b4581;fe13d6;1;f985b6;300;250;1;69,81
32022;2ea8ec;fe13d6;1;f19416;980;90;1;
32041;1c29f8;fe13d6;1;f19416;728;90;1;69,81
32050;c9e9e9;fe13d6;1;f985b6;160;600;1;69,81
32051;1510a4;fe13d6;1;f985b6;300;600;1;69,81
32080;1510a4;fe13d6;1;d6aa4e;300;600;1;
32056;1b19d6;fe13d6;2;c7f049;980;90;1;83,84
32059;2b0ac7;fe13d6;2;c7f049;728;90;1;83,84
32061;94808f;fe13d6;2;c7f049;300;600;1;83,84
32062;e057c0;fe13d6;2;c7f049;160;600;1;83,84
32064;4a48f3;fe13d6;2;c7f049;300;250;1;83,84
32065;544b8f;fe13d6;2;56874d;980;90;1;83,84
32066;2b0ac7;fe13d6;2;56874d;728;90;1;83,84
32067;0b1135;fe13d6;2;56874d;300;600;1;83,84
32068;41a642;fe13d6;2;56874d;160;600;1;83,84
32069;4a48f3;fe13d6;2;56874d;300;250;1;83,84
32070;1b19d6;fe13d6;2;c7f049;980;90;1;83,84
32071;2b0ac7;fe13d6;2;c7f049;728;90;1;83,84
32072;94808f;fe13d6;2;c7f049;300;600;1;83,84
32073;e057c0;fe13d6;2;c7f049;160;600;1;83,84
32074;4a48f3;fe13d6;2;c7f049;300;250;1;83,84
32075;4a48f3;fe13d6;2;c7f049;300;250;1;83,84
32076;2b0ac7;fe13d6;2;c7f049;728;90;1;83,84
32077;e057c0;fe13d6;2;c7f049;160;600;1;83,84
32078;94808f;fe13d6;2;c7f049;300;600;1;83,84
32079;1b19d6;fe13d6;2;c7f049;980;90;1;83,84
32023;4ad348;fe13d6;3;83a2e5;980;90;1;57,81
32024;057658;fe13d6;3;83a2e5;980;90;1;57,81
32025;02228b;fe13d6;3;83a2e5;728;90;1;57,81
32026;a296cd;fe13d6;3;83a2e5;728;90;1;57,81
32027;db0373;fe13d6;3;83a2e5;300;600;1;57,81
32028;520dde;fe13d6;3;83a2e5;300;600;1;57,81
32030;002ff1;fe13d6;3;83a2e5;160;600;1;57,81
32032;f38b64;fe13d6;3;83a2e5;160;600;1;57,81
32034;d5af66;fe13d6;3;83a2e5;300;250;1;57,81
32035;2ebd50;fe13d6;3;83a2e5;300;250;1;57,81
32053;4c61ae;fe13d6;3;02093f;300;600;1;76,81
32055;27cf88;fe13d6;3;edd041;980;90;1;76,81
32057;05775e;fe13d6;3;edd041;300;250;1;76,81
31974;4a48f3;fe13d6;2;4b0539;300;250;1;81,90
31975;41a642;fe13d6;2;4b0539;160;600;1;81,90
31976;2ff171;fe13d6;2;4b0539;300;600;1;83,90
31977;2b0ac7;fe13d6;2;4b0539;728;90;1;83,90
31978;1b19d6;fe13d6;2;4b0539;980;90;1;83,90
32005;1b19d6;fe13d6;3;4b9ec3;980;90;2;83,84
32006;94808f;fe13d6;3;4b9ec3;300;600;2;83,84
32009;4a48f3;fe13d6;3;4b9ec3;300;250;2;83,84
32010;2b0ac7;fe13d6;3;4b9ec3;728;90;1;83,84
32011;41a642;fe13d6;3;4b9ec3;160;600;1;83,84
32000;b7fe52;fe13d6;2;5af472;160;600;1;60,81
32001;19c284;fe13d6;2;5af472;300;250;1;60,81
32002;e04772;fe13d6;2;5af472;980;90;1;60,81
32003;29c381;fe13d6;2;5af472;300;600;1;60,81
32014;51dec1;fe13d6;2;a69aff;300;250;1;60,81
32015;b2a11d;fe13d6;2;a69aff;980;90;1;60,81
32016;c1283a;fe13d6;2;a69aff;300;600;1;60,81
32017;08b50d;fe13d6;2;7afac3;300;600;1;60,81
32018;45e653;fe13d6;2;7afac3;300;250;1;60,81
